GGDENAME,Energieträger_Label,Anzahl
Grosshöchstetten,Fernwärme,8
Grosshöchstetten,Gas,9
Grosshöchstetten,Geothermie,29
Grosshöchstetten,Heizöl,489
Grosshöchstetten,Holz,117
Grosshöchstetten,Keine,15
Grosshöchstetten,Luft,79
Grosshöchstetten,Sonne,3
Grosshöchstetten,Weitere,146
Gsteig,Elektrizität,8
Gsteig,Fernwärme,13
Gsteig,Gas,47
Gsteig,Heizöl,185
Gsteig,Holz,152
Gsteig,Keine,29
Gsteig,Luft,14
Gsteig,Sonne,2
Gsteig,Weitere,19
Gsteigwiler,Elektrizität,18
Gsteigwiler,Fernwärme,16
Gsteigwiler,Gas,1
Gsteigwiler,Heizöl,75
Gsteigwiler,Holz,65
Gsteigwiler,Keine,45
Gsteigwiler,Luft,10
Gsteigwiler,Weitere,8
Guggisberg,Elektrizität,46
Guggisberg,Fernwärme,23
Guggisberg,Gas,2
Guggisberg,Geothermie,8
Guggisberg,Heizöl,187
Guggisberg,Holz,388
Guggisberg,Keine,13
Guggisberg,Luft,16
Guggisberg,Sonne,1
Guggisberg,Weitere,18
Gurbrü,Elektrizität,6
Gurbrü,Fernwärme,1
Gurbrü,Heizöl,35
Gurbrü,Holz,18
Gurbrü,Keine,4
Gurbrü,Luft,7
Gurbrü,Weitere,17
Gurzelen,Elektrizität,2
Gurzelen,Fernwärme,6
Gurzelen,Gas,2
Gurzelen,Geothermie,4
Gurzelen,Heizöl,109
Gurzelen,Holz,80
Gurzelen,Keine,17
Gurzelen,Luft,19
Gurzelen,Sonne,1
Gurzelen,Wasser,1
Gurzelen,Weitere,15
Guttannen,Elektrizität,15
Guttannen,Heizöl,40
Guttannen,Holz,70
Guttannen,Keine,19
Guttannen,Luft,4
Guttannen,Weitere,2
Gündlischwand,Elektrizität,9
Gündlischwand,Heizöl,57
Gündlischwand,Holz,71
Gündlischwand,Keine,5
Gündlischwand,Luft,9
Gündlischwand,Weitere,4
Habkern,Elektrizität,31
Habkern,Gas,1
Habkern,Geothermie,1
Habkern,Heizöl,81
Habkern,Holz,192
Habkern,Keine,14
Habkern,Luft,6
Habkern,Weitere,6
Hagneck,Elektrizität,17
Hagneck,Geothermie,4
Hagneck,Heizöl,70
Hagneck,Holz,14
Hagneck,Keine,4
Hagneck,Luft,17
Hagneck,Weitere,31
Hasle bei Burgdorf,Elektrizität,41
Hasle bei Burgdorf,Fernwärme,21
Hasle bei Burgdorf,Gas,7
Hasle bei Burgdorf,Heizöl,300
Hasle bei Burgdorf,Holz,321
Hasle bei Burgdorf,Keine,78
Hasle bei Burgdorf,Luft,27
Hasle bei Burgdorf,Sonne,5
Hasle bei Burgdorf,Wasser,1
Hasle bei Burgdorf,Weitere,180
Hasliberg,Elektrizität,18
Hasliberg,Fernwärme,9
Hasliberg,Gas,1
Hasliberg,Heizöl,338
Hasliberg,Holz,330
Hasliberg,Keine,64
Hasliberg,Luft,43
Hasliberg,Sonne,5
Hasliberg,Weitere,72
Heiligenschwendi,Elektrizität,21
Heiligenschwendi,Fernwärme,19
Heiligenschwendi,Gas,1
Heiligenschwendi,Geothermie,6
Heiligenschwendi,Heizöl,80
Heiligenschwendi,Holz,71
Heiligenschwendi,Keine,11
Heiligenschwendi,Luft,14
Heiligenschwendi,Sonne,3
Heiligenschwendi,Weitere,27
Heimberg,Elektrizität,54
Heimberg,Fernwärme,31
Heimberg,Gas,73
Heimberg,Geothermie,14
Heimberg,Heizöl,756
Heimberg,Holz,75
Heimberg,Keine,29
Heimberg,Luft,62
Heimberg,Sonne,2
Heimberg,Wasser,13
Heimberg,Weitere,293
Heimenhausen,Elektrizität,28
Heimenhausen,Fernwärme,2
Heimenhausen,Gas,13
Heimenhausen,Geothermie,2
Heimenhausen,Heizöl,141
Heimenhausen,Holz,70
Heimenhausen,Keine,7
Heimenhausen,Luft,24
Heimenhausen,Sonne,1
Heimenhausen,Weitere,92
Heimiswil,Elektrizität,26
Heimiswil,Fernwärme,4
Heimiswil,Gas,2
Heimiswil,Geothermie,1
Heimiswil,Heizöl,117
Heimiswil,Holz,327
Heimiswil,Keine,10
Heimiswil,Luft,22
Heimiswil,Sonne,2
Heimiswil,Wasser,1
Heimiswil,Weitere,48
Hellsau,Elektrizität,1
Hellsau,Fernwärme,18
Hellsau,Heizöl,30
Hellsau,Holz,10
Hellsau,Keine,44
